timestamp,node,cpuUsed,cpuPct,memUsed,memPct
2026-05-14T23:24:05+01:00,k3s-server,498m,49%,1018Mi,17%
2026-05-14T23:24:05+01:00,k3s-worker-1,203m,20%,670Mi,11%
2026-05-14T23:24:05+01:00,k3s-worker-2,818m,81%,776Mi,13%
2026-05-14T23:24:05+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:24:12+01:00,k3s-server,498m,49%,1018Mi,17%
2026-05-14T23:24:12+01:00,k3s-worker-1,203m,20%,670Mi,11%
2026-05-14T23:24:12+01:00,k3s-worker-2,818m,81%,776Mi,13%
2026-05-14T23:24:12+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:24:18+01:00,k3s-server,503m,50%,1018Mi,17%
2026-05-14T23:24:18+01:00,k3s-worker-1,198m,19%,670Mi,11%
2026-05-14T23:24:18+01:00,k3s-worker-2,818m,81%,775Mi,13%
2026-05-14T23:24:18+01:00,k3s-worker-3,7m,0%,609Mi,10%
2026-05-14T23:24:25+01:00,k3s-server,503m,50%,1018Mi,17%
2026-05-14T23:24:25+01:00,k3s-worker-1,198m,19%,670Mi,11%
2026-05-14T23:24:25+01:00,k3s-worker-2,818m,81%,775Mi,13%
2026-05-14T23:24:25+01:00,k3s-worker-3,7m,0%,609Mi,10%
2026-05-14T23:24:31+01:00,k3s-server,540m,54%,1018Mi,17%
2026-05-14T23:24:31+01:00,k3s-worker-1,189m,18%,671Mi,11%
2026-05-14T23:24:31+01:00,k3s-worker-2,830m,83%,775Mi,13%
2026-05-14T23:24:31+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:24:40+01:00,k3s-server,540m,54%,1018Mi,17%
2026-05-14T23:24:40+01:00,k3s-worker-1,189m,18%,671Mi,11%
2026-05-14T23:24:40+01:00,k3s-worker-2,830m,83%,775Mi,13%
2026-05-14T23:24:40+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:24:46+01:00,k3s-server,522m,52%,1019Mi,17%
2026-05-14T23:24:46+01:00,k3s-worker-1,200m,20%,670Mi,11%
2026-05-14T23:24:46+01:00,k3s-worker-2,788m,78%,776Mi,13%
2026-05-14T23:24:46+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:24:55+01:00,k3s-server,496m,49%,1023Mi,17%
2026-05-14T23:24:55+01:00,k3s-worker-1,196m,19%,671Mi,11%
2026-05-14T23:24:55+01:00,k3s-worker-2,817m,81%,776Mi,13%
2026-05-14T23:24:55+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:25:05+01:00,k3s-server,496m,49%,1023Mi,17%
2026-05-14T23:25:05+01:00,k3s-worker-1,196m,19%,671Mi,11%
2026-05-14T23:25:05+01:00,k3s-worker-2,817m,81%,776Mi,13%
2026-05-14T23:25:05+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:25:10+01:00,k3s-server,71m,7%,1023Mi,17%
2026-05-14T23:25:10+01:00,k3s-worker-1,30m,3%,670Mi,11%
2026-05-14T23:25:10+01:00,k3s-worker-2,299m,29%,698Mi,11%
2026-05-14T23:25:10+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:25:20+01:00,k3s-server,71m,7%,1023Mi,17%
2026-05-14T23:25:20+01:00,k3s-worker-1,30m,3%,670Mi,11%
2026-05-14T23:25:20+01:00,k3s-worker-2,299m,29%,698Mi,11%
2026-05-14T23:25:20+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:25:26+01:00,k3s-server,71m,7%,1023Mi,17%
2026-05-14T23:25:26+01:00,k3s-worker-1,30m,3%,670Mi,11%
2026-05-14T23:25:26+01:00,k3s-worker-2,299m,29%,698Mi,11%
2026-05-14T23:25:26+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:25:32+01:00,k3s-server,38m,3%,1023Mi,17%
2026-05-14T23:25:32+01:00,k3s-worker-1,12m,1%,671Mi,11%
