serviceRequest,startTime,duration,status
web,18.668,0.014000,OK
web,18.696,0.014000,OK
web,18.724,0.014000,OK
web,18.752,0.014000,OK
web,18.780,0.014000,OK
web,18.808,0.014000,OK
web,18.836,0.014000,OK
web,18.864,0.014000,OK
web,18.892,0.014000,OK
web,18.920,0.014000,OK
web,18.948,0.014000,OK
web,18.976,0.014000,OK
web,19.004,0.014000,OK
web,19.032,0.014000,OK
web,19.060,0.014000,OK
web,19.088,0.014000,OK
web,19.116,0.014000,OK
web,19.144,0.014000,OK
web,19.172,0.014000,OK
web,19.200,0.014000,OK
web,19.228,0.014000,OK
web,19.256,0.014000,OK
web,19.284,0.014000,OK
web,19.312,0.014000,OK
web,19.340,0.014000,OK
web,19.368,0.014000,OK
web,19.396,0.014000,OK
web,19.424,0.014000,OK
web,19.452,0.014000,OK
web,19.480,0.014000,OK
web,19.508,0.014000,OK
web,19.536,0.014000,OK
web,19.564,0.014000,OK
web,19.592,0.014000,OK
web,19.620,0.014000,OK
web,19.648,0.014000,OK
web,19.676,0.014000,OK
web,19.704,0.014000,OK
web,19.732,0.014000,OK
web,19.760,0.014000,OK
web,19.788,0.014000,OK
web,19.816,0.014000,OK
web,19.844,0.014000,OK
web,19.872,0.014000,OK
web,19.900,0.014000,OK
web,19.928,0.014000,OK
web,19.956,0.014000,OK
web,19.984,0.014000,OK
web,20.012,0.014000,OK
web,20.040,0.014000,OK
web,20.068,0.014000,OK
web,20.096,0.014000,OK
web,20.124,0.014000,OK
web,20.152,0.014000,OK
web,20.180,0.014000,OK
web,20.208,0.014000,OK
web,20.236,0.014000,OK
web,20.264,0.014000,OK
web,20.292,0.014000,OK
web,20.320,0.014000,OK
web,20.348,0.014000,OK
web,20.376,0.014000,OK
web,20.404,0.014000,OK
web,20.432,0.014000,OK
web,20.460,0.014000,OK
web,20.488,0.014000,OK
web,20.516,0.014000,OK
web,20.544,0.014000,OK
web,20.572,0.014000,OK
web,20.600,0.014000,OK
web,20.628,0.014000,OK
web,20.656,0.014000,OK
web,20.684,0.014000,OK
web,20.712,0.014000,OK
web,20.740,0.014000,OK
web,20.768,0.014000,OK
web,20.796,0.014000,OK
